Year;Title;Role;Notes;Ref(s)
1982;Fast Times at Ridgemont High;Brad's Bud;Credited as Nicolas Coppola;[1]
1983;Valley Girl;Randy;;[12]
1983;Rumble Fish;Smokey;;[13]
1984;Racing with the Moon;Nicky;;[14]
1984;The Cotton Club;Vincent Dwyer;;[15]
1984;Birdy;Al Columbato;;[16]
1986;The Boy in Blue;Ned Hanlan;;[17]
1986;Peggy Sue Got Married;Charlie Bodell;;[18]
1987;Raising Arizona;H.I. McDunnough;;[19]
1987;Moonstruck;Ronny Cammareri;;[20]
1988;Vampire's Kiss;Peter Loew;;[7]
1989;Never on Tuesday;Man in red sports car;"Direct-to-video; uncredited";[21]
1989;Time to Kill;Enrico Silvestri;;[22]
1990;Wild at Heart;Sailor Ripley;;[23]
1990;Fire Birds;Jake Preston;;[24]
1991;Zandalee;Johnny Collins;Direct-to-video;[25]
1992;Honeymoon in Vegas;Jack Singer;;[26]
1993;Amos & Andrew;Amos Odell;;[27]
1993;Red Rock West;Michael;Direct-to-video;[28]
1993;Deadfall;Eddie;;[29]
1994;Guarding Tess;Doug Chesnic;;[30]
1994;It Could Happen to You;Charlie Lang;;[31]
1994;Trapped in Paradise;Bill Firpo;;[32]
1994;A Century of Cinema;Himself;Documentary;[33]
1995;Kiss of Death;Little Junior Brown;;[34]
1995;Leaving Las Vegas;Ben Sanderson;;[35]
1996;The Rock;Stanley Goodspeed;;[36]
1997;Con Air;Cameron Poe;;[37]
1997;Face/Off;Castor Troy;;[38]
1998;City of Angels;Seth;;[39]
1998;Snake Eyes;Rick Santoro;;[40]
1999;8mm;Tom Welles;;[41]
1999;Bringing Out the Dead;Frank Pierce;;[42]
2000;Gone in 60 Seconds;Memphis Raines;;[43]
2000;The Family Man;Jack Campbell;;[44]
2000;Bel Air;;Producer;[45]
2000;Shadow of the Vampire;;Producer;[46]
2001;Captain Corelli's Mandolin;Captain Antonio Corelli;;[47]
2001;Christmas Carol: The Movie;Jacob Marley;"Direct-to-video; voice role";[48]
2002;Windtalkers;Joe Enders;;[49]
2002;Sonny;Acid Yellow;Also director and producer;[50]
2002;Adaptation;Charlie Kaufman / Donald Kaufman;;[51]
2003;The Life of David Gale;;Producer;[52]
2003;Matchstick Men;Roy Waller;;[53]
2004;National Treasure;Benjamin Franklin Gates;;[54]
2005;Lord of War;Yuri Orlov;Also producer;[55]
2005;The Weather Man;David Spritz;;[56]
2006;The Ant Bully;Zoc;Voice role;[57]
2006;World Trade Center;John McLoughlin;;[58]
2006;The Wicker Man;Edward Malus;Also producer;[59]
2007;Ghost Rider;Johnny Blaze / Ghost Rider;;[60]
